timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601761341494,4102,openGeneralSite,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",clearGuestbookHistory 2-1,text,false,"Test failed: text expected to contain /Аплана, тестирование программного обеспечения, автоматизация процессов разработки ПО, внедрение инструментов управления жизненным циклом ПО, разработка и сопровождение информационных систем, техническая поддержка./",2741,0,1,2,http://localhost:8080/,0,0,4102
1601761341305,4102,transaction_openGeneralSite,,"Number of samples in transaction : 1, number of failing samples : 1",clearGuestbookHistory 2-1,,false,,2741,0,1,2,null,0,213,4102
1601761345624,4089,openGuestbook,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",clearGuestbookHistory 2-1,text,false,Test failed: text expected to contain /<title>Гостевая книга</title>/,2741,0,1,2,http://localhost:8080/guestbook.html,0,0,4089
1601761349718,4058,serviceGuestbook,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",clearGuestbookHistory 2-1,text,false,,2741,0,1,2,http://localhost:8080/service/guestbook,0,0,4058
1601761345623,8147,transaction_openGuestbook,,"Number of samples in transaction : 2, number of failing samples : 2",clearGuestbookHistory 2-1,,false,,5482,0,1,2,null,0,11,8147
1601761341305,12249,clearGuestbookHistory,,"Number of samples in transaction : 4, number of failing samples : 3",clearGuestbookHistory 2-1,,false,,8223,0,1,2,null,0,400,12249
1601761353955,4049,openGeneralSite,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",clearGuestbookHistory 2-1,text,false,"Test failed: text expected to contain /Аплана, тестирование программного обеспечения, автоматизация процессов разработки ПО, внедрение инструментов управления жизненным циклом ПО, разработка и сопровождение информационных систем, техническая поддержка./",2741,0,1,2,http://localhost:8080/,0,0,4049
1601761353954,4049,transaction_openGeneralSite,,"Number of samples in transaction : 1, number of failing samples : 1",clearGuestbookHistory 2-1,,false,,2741,0,1,2,null,0,4,4049
1601761358008,4068,openGuestbook,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",clearGuestbookHistory 2-1,text,false,Test failed: text expected to contain /<title>Гостевая книга</title>/,2741,0,1,2,http://localhost:8080/guestbook.html,0,0,4068
1601761362079,3033,serviceGuestbook,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,clearGuestbookHistory 2-1,text,false,,2446,0,1,1,http://localhost:8080/service/guestbook,0,0,3033
1601761358007,7101,transaction_openGuestbook,,"Number of samples in transaction : 2, number of failing samples : 2",clearGuestbookHistory 2-1,,false,,5187,0,1,1,null,0,9,7101
1601761353954,11150,clearGuestbookHistory,,"Number of samples in transaction : 4, number of failing samples : 3",clearGuestbookHistory 2-1,,false,,7928,0,1,1,null,0,19,11150
