timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601761341494,4102,openGeneralSite,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",sendComment 1-1,text,false,"Test failed: text expected to contain /Аплана, тестирование программного обеспечения, автоматизация процессов разработки ПО, внедрение инструментов управления жизненным циклом ПО, разработка и сопровождение информационных систем, техническая поддержка./",2741,0,1,2,http://localhost:8080/,0,0,4102
1601761341317,4102,transaction_openGeneralSite,,"Number of samples in transaction : 1, number of failing samples : 1",sendComment 1-1,,false,,2741,0,1,2,null,0,202,4102
1601761345624,4089,openClients,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",sendComment 1-1,text,false,Test failed: text expected to contain /<title>Клиенты</title>/,2741,0,1,2,http://localhost:8080/clients.html,0,0,4089
1601761345623,4089,transaction_openClients,,"Number of samples in transaction : 1, number of failing samples : 1",sendComment 1-1,,false,,2741,0,1,2,null,0,11,4089
1601761349725,4083,openGuestbook,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",sendComment 1-1,text,false,Test failed: text expected to contain /<title>Гостевая книга</title>/,2741,0,1,2,http://localhost:8080/guestbook.html,0,0,4083
1601761353812,4048,serviceGuestbook,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",sendComment 1-1,text,false,,2741,0,1,2,http://localhost:8080/service/guestbook,0,0,4048
1601761349724,8131,transaction_openGuestbook,,"Number of samples in transaction : 2, number of failing samples : 2",sendComment 1-1,,false,,5482,0,1,2,null,0,8,8131
1601761357865,0,addGuestbook,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 46: http://localhost:8080/service/guestbook?user=${client}&text=Спасибо!,sendComment 1-1,text,false,,1156,0,1,2,http://localhost:8080/service/guestbook?user=${client}&text=Спасибо!,0,0,0
1601761357869,4053,serviceGuestbook,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",sendComment 1-1,text,false,Test failed: text expected to contain /<b>${client}</b>: 'Спасибо!'<br>/,2741,0,1,2,http://localhost:8080/service/guestbook,0,0,4053
1601761357864,4053,transaction_addGuestbook,,"Number of samples in transaction : 2, number of failing samples : 2",sendComment 1-1,,false,,3897,0,1,2,null,0,8,4053
1601761341302,20375,sendComment,,"Number of samples in transaction : 9, number of failing samples : 6",sendComment 1-1,,false,,14861,0,1,2,null,0,250,20375
1601761361928,3175,openGeneralSite,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,sendComment 1-1,text,false,"Test failed: text expected to contain /Аплана, тестирование программного обеспечения, автоматизация процессов разработки ПО, внедрение инструментов управления жизненным циклом ПО, разработка и сопровождение информационных систем, техническая поддержка./",2446,0,1,2,http://localhost:8080/,0,0,3174
1601761361927,3175,transaction_openGeneralSite,,"Number of samples in transaction : 1, number of failing samples : 1",sendComment 1-1,,false,,2446,0,1,2,null,0,5,3174
