timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601831119760,21,openGeneralSite,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,21,0,2
1601831119760,19,openGeneralSite,200,,clearGuestbookHistory 2-1,text,true,,22653,356,1,2,http://localhost:8080/,19,0,2
1601831119757,21,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,21,41,2
1601831119756,19,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,22653,356,1,2,null,19,44,2
1601831119823,15,openGuestbook,200,,clearGuestbookHistory 2-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,15,0,0
1601831119823,20,openClients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,19,0,0
1601831119822,20,transaction_openClients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,19,52,0
1601831119895,16,openGuestbook,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,16,0,0
1601831119894,51,serviceGuestbook,200,,clearGuestbookHistory 2-1,text,true,,272,319,1,2,http://localhost:8080/service/guestbook,51,0,0
1601831119912,30,serviceGuestbook,200,,sendComment 1-1,text,true,,272,319,1,2,http://localhost:8080/service/guestbook,30,0,0
1601831119822,66,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,4384,734,1,2,null,66,58,0
1601831119894,46,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4384,734,1,2,null,46,26,0
1601831119756,85,clearGuestbookHistory,200,"Number of samples in transaction : 4, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,27037,1090,1,2,null,85,125,2
1601831119967,14,addGuestbook,200,,sendComment 1-1,text,true,,274,543,1,2,http://localhost:8080/service/guestbook?user=Эльдорадо&text=Спасибо!,14,0,0
1601831119983,10,serviceGuestbook2,200,,sendComment 1-1,text,true,,321,319,1,2,http://localhost:8080/service/guestbook,10,0,0
1601831119966,24,transaction_addGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,595,862,1,2,null,24,5,0
1601831119754,111,sendComment,200,"Number of samples in transaction : 9, number of failing samples : 0",sendComment 1-1,,true,,33767,2353,1,2,null,110,132,2
1601831120000,13,openGeneralSite,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,13,0,0
1601831119998,13,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,13,3,0
1601831120015,9,openClients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,9,0,0
1601831120014,9,transaction_openClients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,9,3,0
1601831120027,8,openGuestbook,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,8,0,0
1601831120037,8,serviceGuestbook,200,,sendComment 1-1,text,true,,321,319,1,2,http://localhost:8080/service/guestbook,8,0,0
1601831120026,16,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4433,734,1,2,null,16,4,0
1601831120047,9,addGuestbook,200,,sendComment 1-1,text,true,,274,721,1,2,"http://localhost:8080/service/guestbook?user=Альфа-Банк&text=Рекомендую,%20это%20лучшая%20компания%20на%20свете",9,0,0
1601831120057,7,serviceGuestbook2,200,,sendComment 1-1,text,true,,430,319,1,2,http://localhost:8080/service/guestbook,7,0,0
1601831120046,16,transaction_addGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,704,1040,1,2,null,16,3,0
1601831119998,54,sendComment,200,"Number of samples in transaction : 9, number of failing samples : 0",sendComment 1-1,,true,,33925,2531,1,2,null,54,14,0
1601831120067,12,openGeneralSite,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,11,0,0
1601831120066,12,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,11,2,0
1601831120081,10,openClients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,9,0,0
1601831120080,10,transaction_openClients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,9,2,0
1601831120093,10,openGuestbook,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,10,0,0
1601831120104,8,serviceGuestbook,200,,sendComment 1-1,text,true,,430,319,1,2,http://localhost:8080/service/guestbook,8,0,0
1601831120092,18,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4542,734,1,2,null,18,3,0
1601831120114,9,addGuestbook,200,,sendComment 1-1,text,true,,274,552,1,2,http://localhost:8080/service/guestbook?user=МТС&text=Отличные%20ребята.,9,0,0
1601831120124,7,serviceGuestbook2,200,,sendComment 1-1,text,true,,481,319,1,2,http://localhost:8080/service/guestbook,7,0,0
1601831120113,16,transaction_addGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,755,871,1,2,null,16,3,0
1601831120066,56,sendComment,200,"Number of samples in transaction : 9, number of failing samples : 0",sendComment 1-1,,true,,34085,2362,1,2,null,54,10,0
1601831120641,10,openGeneralSite,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,10,0,0
1601831120133,10,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,10,510,0
1601831120654,9,openClients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,9,0,0
1601831120653,9,transaction_openClients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,9,3,0
1601831120666,9,openGuestbook,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,9,0,0
1601831120677,7,serviceGuestbook,200,,sendComment 1-1,text,true,,481,319,1,2,http://localhost:8080/service/guestbook,7,0,0
1601831120665,16,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4593,734,1,2,null,16,4,0
1601831120686,42,addGuestbook,500,,sendComment 1-1,text,false,,1168,819,1,2,http://localhost:8080/service/guestbook?user=Центральный%20банк%20Российской%20Федерации&text=Благодарю%20за%20отличную%20работу!,41,0,0
1601831120731,9,serviceGuestbook2,200,,sendComment 1-1,text,false,Test failed: text expected to contain /<b>Центральный банк Российской Федерации</b>: 'Благодарю за отличную работу!'<br>/,481,319,1,2,http://localhost:8080/service/guestbook,9,0,2
1601831120685,51,transaction_addGuestbook,,"Number of samples in transaction : 2, number of failing samples : 2",sendComment 1-1,,false,,1649,1138,1,2,null,50,6,2
1601831120133,86,sendComment,,"Number of samples in transaction : 9, number of failing samples : 2",sendComment 1-1,,false,,35030,2629,1,2,null,85,524,2
1601831121266,7,openGeneralSite,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,7,0,0
1601831120745,7,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,7,522,0
1601831121275,9,openClients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,9,0,0
1601831121275,9,transaction_openClients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,9,1,0
1601831121287,7,openGuestbook,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,7,0,0
1601831121296,7,serviceGuestbook,200,,sendComment 1-1,text,true,,481,319,1,2,http://localhost:8080/service/guestbook,7,0,0
1601831121286,14,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4593,734,1,2,null,14,4,0
1601831121305,8,addGuestbook,200,,sendComment 1-1,text,true,,274,534,1,2,http://localhost:8080/service/guestbook?user=МТС%20Банк&text=Спасибо!,8,0,0
1601831121314,7,serviceGuestbook2,200,,sendComment 1-1,text,true,,526,319,1,2,http://localhost:8080/service/guestbook,7,0,0
1601831121304,15,transaction_addGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,800,853,1,2,null,15,3,0
1601831120744,45,sendComment,200,"Number of samples in transaction : 9, number of failing samples : 0",sendComment 1-1,,true,,34181,2344,1,2,null,45,533,0
1601831121836,8,openGeneralSite,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,8,0,0
1601831121322,8,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,8,516,0
1601831121846,7,openClients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,7,0,0
1601831121846,7,transaction_openClients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,7,1,0
1601831121855,7,openGuestbook,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,7,0,0
1601831121864,6,serviceGuestbook,200,,sendComment 1-1,text,true,,526,319,1,2,http://localhost:8080/service/guestbook,6,0,0
1601831121854,13,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4638,734,1,2,null,13,3,0
1601831121871,8,addGuestbook,200,,sendComment 1-1,text,true,,274,684,1,2,"http://localhost:8080/service/guestbook?user=МТС&text=Рекомендую,%20это%20лучшая%20компания%20на%20свете",8,0,0
1601831121880,6,serviceGuestbook2,200,,sendComment 1-1,text,true,,621,319,1,2,http://localhost:8080/service/guestbook,6,0,0
1601831121871,14,transaction_addGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,895,1003,1,2,null,14,1,0
1601831121322,42,sendComment,200,"Number of samples in transaction : 9, number of failing samples : 0",sendComment 1-1,,true,,34321,2494,1,2,null,42,523,0
1601831122401,7,openGeneralSite,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,7,0,0
1601831121887,7,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,7,515,0
1601831122410,7,openClients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,7,0,0
1601831122410,7,transaction_openClients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,7,1,0
1601831122419,7,openGuestbook,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,7,0,0
1601831122428,6,serviceGuestbook,200,,sendComment 1-1,text,true,,621,319,1,2,http://localhost:8080/service/guestbook,6,0,0
1601831122418,13,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4733,734,1,2,null,13,4,0
1601831122436,8,addGuestbook,200,,sendComment 1-1,text,true,,274,552,1,2,http://localhost:8080/service/guestbook?user=МТС&text=Отличные%20ребята.,8,0,0
1601831122446,7,serviceGuestbook2,200,,sendComment 1-1,text,true,,672,319,1,2,http://localhost:8080/service/guestbook,7,0,0
1601831122435,15,transaction_addGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,946,871,1,2,null,15,4,0
1601831121887,42,sendComment,200,"Number of samples in transaction : 9, number of failing samples : 0",sendComment 1-1,,true,,34467,2362,1,2,null,42,525,0
1601831122961,11,openGeneralSite,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,11,0,0
1601831122454,11,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,11,508,0
1601831122974,14,openClients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,14,0,0
1601831122973,15,transaction_openClients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,14,2,0
