timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601661330923,16,openGeneralSite,200,,clearGuestbookHistory 2-1,text,true,,22653,356,1,2,http://localhost:8080/,16,0,2
1601661330936,10,openGeneralSite,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,10,0,2
1601661330933,10,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,10,26,2
1601661330918,16,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,22653,356,1,2,null,16,35,2
1601661330970,16,openGuestbook,200,,clearGuestbookHistory 2-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,16,0,0
1601661330970,16,openClients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,16,0,0
1601661330969,16,transaction_openClients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,16,3,0
1601661330988,95,serviceGuestbook,200,,clearGuestbookHistory 2-1,text,true,,2234,319,1,2,http://localhost:8080/service/guestbook,95,0,0
1601661331050,13,openGuestbook,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,12,0,0
1601661330969,111,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,6346,734,1,2,null,111,37,0
1601661331118,13,serviceGuestbook,200,,sendComment 1-1,text,true,,2234,319,1,2,http://localhost:8080/service/guestbook,12,0,0
1601661331049,26,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,6346,734,1,2,null,24,110,0
1601661331186,15,addGuestbook,200,,sendComment 1-1,text,true,,274,543,1,2,http://localhost:8080/service/guestbook?user=Эльдорадо&text=Спасибо!,15,0,0
1601661331203,10,serviceGuestbook,200,,sendComment 1-1,text,true,,2282,319,1,2,http://localhost:8080/service/guestbook,10,0,0
1601661331185,25,transaction_addGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,2556,862,1,2,null,25,4,0
1601661330917,77,sendComment,200,"Number of samples in transaction : 9, number of failing samples : 0",sendComment 1-1,,true,,37690,2353,1,2,null,75,220,2
1601661331216,11,openGeneralSite,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,9,0,0
1601661331215,11,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,9,2,0
1601661331229,8,openClients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,7,0,0
1601661331228,8,transaction_openClients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,7,2,0
1601661331238,9,openGuestbook,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,9,0,0
1601661331248,6,serviceGuestbook,200,,sendComment 1-1,text,true,,2282,319,1,2,http://localhost:8080/service/guestbook,6,0,0
1601661331238,15,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,6394,734,1,2,null,15,2,0
1601661331256,8,addGuestbook,200,,sendComment 1-1,text,true,,274,708,1,2,"http://localhost:8080/service/guestbook?user=Мегафон&text=Рекомендую,%20это%20лучшая%20компания%20на%20свете",8,0,0
1601661331265,11,serviceGuestbook,200,,sendComment 1-1,text,true,,2385,319,1,2,http://localhost:8080/service/guestbook,11,0,0
1601661331255,19,transaction_addGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,2659,1027,1,2,null,19,2,0
1601661331215,53,sendComment,200,"Number of samples in transaction : 9, number of failing samples : 0",sendComment 1-1,,true,,37841,2518,1,2,null,50,8,0
1601661331277,12,openGeneralSite,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,11,0,0
1601661331277,12,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,11,1,0
1601661331118,176,JDBC Request (DELETE),200,OK,clearGuestbookHistory 2-1,text,true,,10,0,1,2,null,176,0,173
1601661331291,8,openClients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,8,0,0
1601661331290,8,transaction_openClients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,401,1,2,null,8,2,0
1601661331295,6,serviceGuestbook,200,,clearGuestbookHistory 2-1,text,true,,272,319,1,2,http://localhost:8080/service/guestbook,6,0,0
1601661330918,309,clearGuestbookHistory,200,"Number of samples in transaction : 7, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,29281,1409,1,2,null,309,75,175
1601661331300,16,openGuestbook,200,,sendComment 1-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,16,0,0
1601661331303,18,openGeneralSite,200,,clearGuestbookHistory 2-1,text,true,,22653,356,1,2,http://localhost:8080/,17,0,0
1601661331302,18,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,22653,356,1,2,null,17,2,0
1601661331323,8,openGuestbook,200,,clearGuestbookHistory 2-1,text,true,,4112,415,1,2,http://localhost:8080/guestbook.html,7,0,0
1601661331332,19,serviceGuestbook,200,,clearGuestbookHistory 2-1,text,true,,272,319,1,2,http://localhost:8080/service/guestbook,19,0,0
1601661331322,27,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,4384,734,1,2,null,26,3,0
1601661331302,45,clearGuestbookHistory,200,"Number of samples in transaction : 4, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,27037,1090,1,2,null,43,8,0
1601661331318,41,serviceGuestbook,200,,sendComment 1-1,text,true,,272,319,1,2,http://localhost:8080/service/guestbook,41,0,0
1601661331300,57,transaction_openGuestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4384,734,1,2,null,57,3,0
1601661331360,9,addGuestbook,200,,sendComment 1-1,text,true,,274,548,1,2,http://localhost:8080/service/guestbook?user=Procter&Gamble&text=Отличные%20ребята.,9,0,0
1601661331370,10,serviceGuestbook,200,,sendComment 1-1,text,false,Test failed: text expected to contain /<b>Procter&Gamble</b>: 'Отличные ребята.'<br>/,325,319,1,2,http://localhost:8080/service/guestbook,10,0,0
1601661331360,19,transaction_addGuestbook,,"Number of samples in transaction : 2, number of failing samples : 1",sendComment 1-1,,false,,599,867,1,2,null,19,12,0
1601661331277,96,sendComment,,"Number of samples in transaction : 9, number of failing samples : 1",sendComment 1-1,,false,,33771,2358,1,2,null,95,19,0
1601661331603,8,openGeneralSite,200,,sendComment 1-1,text,true,,22653,356,1,2,http://localhost:8080/,8,0,0
1601661331394,8,transaction_openGeneralSite,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22653,356,1,2,null,8,210,0
1601661331613,6,openClients,200,,sendComment 1-1,text,true,,6135,401,1,2,http://localhost:8080/clients.html,6,0,0
